country,child_mort,life_expec,income,gdpp,Priority_Score
Haiti,208.0,32.1,1500,662,0.8165911392580731
Central African Republic,149.0,47.5,888,446,0.7082492503705302
Sierra Leone,160.0,55.0,1220,399,0.6954217614098727
Chad,150.0,56.5,1930,897,0.6861031573037077
Niger,123.0,58.8,814,348,0.6625791279145714
Mali,137.0,59.5,1870,708,0.6578209557185597
"Congo, Dem. Rep.",116.0,57.5,609,334,0.6459730655455866
Burkina Faso,116.0,57.9,1430,575,0.6281214742613721
Guinea-Bissau,114.0,55.6,1390,547,0.6228366080229368
Mozambique,101.0,54.5,918,419,0.6190135003283288
